華語詞目id,華語詞目,腔,漢字,羅馬字
28,盪鞦韆,三峽偏泉腔,幌韆鞦,hàinn-tshan-tshiu
28,盪鞦韆,臺北偏泉腔,幌公鞦,hàinn-kong-tshiu
28,盪鞦韆,臺北偏泉腔,幌韆鞦,hàinn-khan-thiu
28,盪鞦韆,臺南混合腔,幌韆鞦,hàinn-tshan-tshiu
28,盪鞦韆,高雄混合腔,幌韆鞦,hàinn-tshian-tshiu
28,盪鞦韆,金門偏泉腔,幌韆鞦,hiù-tshian-tshiu
28,盪鞦韆,馬公偏泉腔,幌韆鞦,hàinn-tshian-tshiu
28,盪鞦韆,新竹偏泉腔,幌韆鞦,hàinn-tshian-tshiu
28,盪鞦韆,宜蘭偏漳腔,幌中鞦,hàinn-tiong-tshiu
28,盪鞦韆,臺中偏漳腔,幌中鞦,hàinn-tong-tshiu
28,盪鞦韆,臺中偏漳腔,幌公鞦,hàinn-kong-tshiu
29,游泳,鹿港偏泉腔,泅水,siû-tsuí
29,游泳,三峽偏泉腔,泅水,siû-tsuí
29,游泳,臺北偏泉腔,泅水,siû-tsuí
29,游泳,臺北偏泉腔,游泳,iû-íng
29,游泳,宜蘭偏漳腔,泅水,siû-tsuí
29,游泳,宜蘭偏漳腔,游泳,iû-íng
29,游泳,臺南混合腔,泅水,siû-tsuí
29,游泳,臺南混合腔,洗浴,sé-i̍k
29,游泳,臺南混合腔,游泳,iû-íng
29,游泳,高雄混合腔,泅水,siû-tsuí
29,游泳,高雄混合腔,游泳,iû-íng
29,游泳,金門偏泉腔,泅水,siû-tsuí
29,游泳,馬公偏泉腔,泅水,siû-tsuí
29,游泳,新竹偏泉腔,泅水,siû-tsuí
29,游泳,新竹偏泉腔,游泳,iû-íng
29,游泳,臺中偏漳腔,泅水,siû-tsuí
29,游泳,臺中偏漳腔,游泳,iû-íng
30,蛙泳,鹿港偏泉腔,田蛤仔泅,tshân-kap-á-siû
30,蛙泳,三峽偏泉腔,田蛤仔泅,tshân-kap-á-siû
30,蛙泳,宜蘭偏漳腔,蛤仔泅,kap-á-siû
30,蛙泳,高雄混合腔,四跤仔泅,sì-kha-á-siû
30,蛙泳,馬公偏泉腔,水雞泅,tsuí-kue-siû
30,蛙泳,新竹偏泉腔,田蛤仔泅,tshân-kap-á-siû
30,蛙泳,臺中偏漳腔,水雞仔泅,tsuí-ke-á-siû
31,珠子,鹿港偏泉腔,珠仔,tsu-á
31,珠子,三峽偏泉腔,真珠仔,tsin-tsu-á
31,珠子,臺北偏泉腔,真珠仔,tsin-tsu-á
31,珠子,宜蘭偏漳腔,珠仔,tsu-á
31,珠子,臺南混合腔,輾珠仔,lìn-tsu-á
31,珠子,高雄混合腔,珠仔,tsu-á
31,珠子,金門偏泉腔,嘓子,kho̍k-tsí
31,珠子,馬公偏泉腔,真珠,tsin-tsu
31,珠子,新竹偏泉腔,珠仔,tsu-á
31,珠子,臺中偏漳腔,涼水珠仔,liâng-tsuí-tsu-á
31,珠子,臺中偏漳腔,珠仔,tsu-á
32,仰泳,鹿港偏泉腔,死囡仔䖙,sí-gín-á-the
32,仰泳,三峽偏泉腔,死囡仔䖙,sí-gín-á-the
32,仰泳,臺北偏泉腔,死囡仔䖙,sí-gín-á-the
32,仰泳,宜蘭偏漳腔,死囡仔䖙,sí-gín-á-the
32,仰泳,臺南混合腔,水雞仔弄鐃,suí-ke-á-lāng-lâu
32,仰泳,臺南混合腔,倒拋泅,tòr-pha-siû
32,仰泳,高雄混合腔,死囡仔䖙,sí-gín-á-the
32,仰泳,高雄混合腔,倒拋泅,tòr-pha-siû
32,仰泳,金門偏泉腔,乒乓泅,phīn-phōng-siû
32,仰泳,馬公偏泉腔,放死豬仔流,pàng-sí-tu-á-lâu
32,仰泳,新竹偏泉腔,死囡仔䖙,sí-gín-á-the
32,仰泳,臺中偏漳腔,死囡仔䖙,sí-gín-á-thenn
33,鼓掌,鹿港偏泉腔,拍噗仔,phah-pho̍k-á
33,鼓掌,三峽偏泉腔,拍噗仔,phah-pho̍k-á
33,鼓掌,臺北偏泉腔,拍噗仔,phah-pho̍k-á
33,鼓掌,宜蘭偏漳腔,拍噗仔,phah-pho̍k-á
33,鼓掌,高雄混合腔,拍噗仔,phah-pho̍k-á
33,鼓掌,金門偏泉腔,拍噗仔,phah-phòo--á
33,鼓掌,馬公偏泉腔,拍噗,phah-pho̍k
33,鼓掌,新竹偏泉腔,拍噗仔,phah-pho̍k-á
33,鼓掌,臺中偏漳腔,拍噗仔,phah-pho̍k-á
33,鼓掌,臺中偏漳腔,拍匹噗仔,phah-phit-phok-á
33,鼓掌,臺南混合腔,拍噗仔,phah-pho̍k-á
34,捉迷藏,臺中偏漳腔,掩苦雞,ng-khóo-kue
34,捉迷藏,鹿港偏泉腔,掩咯家,ng-ko̍k-ke
34,捉迷藏,三峽偏泉腔,覕頷喓,bih-ām-iaunn
34,捉迷藏,臺北偏泉腔,掩咯家,ng-ko̍k-ke
34,捉迷藏,宜蘭偏漳腔,掩咯家,uinn-ko̍k-ke
34,捉迷藏,宜蘭偏漳腔,踮相揣,tiàm-sio-tshuē
34,捉迷藏,臺南混合腔,掩咯家,ng-ko̍k-ke
34,捉迷藏,臺南混合腔,覕相揣,bih-sior-tshuē
34,捉迷藏,高雄混合腔,掩咯家,am-ko̍k-ke
34,捉迷藏,馬公偏泉腔,掩咯家,ng-ko̍k-ke
34,捉迷藏,新竹偏泉腔,掩苦雞,ng-khóo-kue
34,捉迷藏,臺中偏漳腔,覕相揣,bih-sio-tshuē
34,捉迷藏,金門偏泉腔,掩苦雞,ng-khóo-kue
35,骰子,鹿港偏泉腔,撚骰仔,lián-tǎu-á
35,骰子,三峽偏泉腔,膏十八仔,kō-si̍p-pat-á
35,骰子,臺北偏泉腔,救十八,kiù-si̍p-pat
35,骰子,宜蘭偏漳腔,撚骰仔,lián-tâu-á
35,骰子,臺南混合腔,撚寶,lián-pó
35,骰子,高雄混合腔,撚骰仔,lián-tâu-á
35,骰子,金門偏泉腔,骰仔,tāu--á
35,骰子,馬公偏泉腔,骰仔,tāu--á
35,骰子,新竹偏泉腔,骰九,tāu-káu
35,骰子,臺中偏漳腔,十八骰仔,si̍p-pat-tāu-á
36,陀螺,鹿港偏泉腔,干樂,kan-lo̍k
36,陀螺,三峽偏泉腔,干樂,kan-lo̍k
36,陀螺,臺北偏泉腔,干樂,kan-lo̍k
36,陀螺,宜蘭偏漳腔,干樂,kan-lo̍k
36,陀螺,臺南混合腔,干樂,kan-lo̍k
36,陀螺,高雄混合腔,干樂,kan-lo̍k
36,陀螺,金門偏泉腔,干樂,kan-lo̍k
36,陀螺,馬公偏泉腔,干樂,kan-lo̍k
36,陀螺,馬公偏泉腔,柴佛,tshâ-pu̍t
36,陀螺,新竹偏泉腔,干樂,kan-lo̍k
36,陀螺,臺中偏漳腔,干樂,kan-lo̍k
37,法螺,鹿港偏泉腔,牛角鼓,gû-kak-kóo
37,法螺,三峽偏泉腔,龍角,lîng-kak
37,法螺,臺北偏泉腔,龍角,lîng-kak
37,法螺,宜蘭偏漳腔,龍角,liông-kak
37,法螺,臺南混合腔,角鼓,kak-kóo
37,法螺,臺南混合腔,角管,kak-kóng
37,法螺,高雄混合腔,角鼓,kak-kóo
37,法螺,金門偏泉腔,哨角,sàu-kak
37,法螺,馬公偏泉腔,龍角,lîng-kak
37,法螺,新竹偏泉腔,哨角,sàu-kak
38,貪汙,鹿港偏泉腔,食錢,tsia̍h-tsînn
38,貪汙,三峽偏泉腔,食錢,tsiā-tsînn
38,貪汙,臺北偏泉腔,食錢,tsia̍h-tsînn
38,貪汙,宜蘭偏漳腔,歪哥,uai-ko
38,貪汙,宜蘭偏漳腔,食錢,tsia̍h-tsînn
38,貪汙,宜蘭偏漳腔,貪汙,tham-u
38,貪汙,臺南混合腔,歪哥,uai-kor
38,貪汙,臺南混合腔,食錢,tsia̍h-tsînn
38,貪汙,臺南混合腔,貪汙,tham-u
38,貪汙,高雄混合腔,歪哥,uai-kor
38,貪汙,高雄混合腔,食錢,tsia̍h-tsînn
38,貪汙,高雄混合腔,貪汙,tham-u
38,貪汙,金門偏泉腔,食錢,tsia̍h-tsînn
38,貪汙,馬公偏泉腔,食錢,tsia̍h-tsînn
38,貪汙,馬公偏泉腔,歪哥,uai-ko
38,貪汙,新竹偏泉腔,食錢,tsia̍h-tsînn
38,貪汙,臺中偏漳腔,食錢,tsia̍h-tsînn
38,貪汙,臺中偏漳腔,貪汙,tham-ú
39,賄賂,鹿港偏泉腔,烏西,oo-sie
39,賄賂,三峽偏泉腔,塞錢予人,siap-tsînn-hōo--lâng
39,賄賂,臺北偏泉腔,烏西,oo-se
39,賄賂,宜蘭偏漳腔,烏西,oo-se
39,賄賂,臺南混合腔,烏西,oo-se
39,賄賂,高雄混合腔,烏西,oo-se
39,賄賂,金門偏泉腔,楗錢,kāinn-tsînn
39,賄賂,金門偏泉腔,楗空,kāinn-khang
39,賄賂,馬公偏泉腔,東包,tong-pau
39,賄賂,馬公偏泉腔,烏西,oo-se
39,賄賂,新竹偏泉腔,烏西,oo-se
39,賄賂,臺中偏漳腔,烏西,oo-se
40,賭博,鹿港偏泉腔,跋筊,pua̍h-kiáu
40,賭博,三峽偏泉腔,跋筊,puā-kiáu
40,賭博,臺北偏泉腔,跋筊,pua̍h-kiáu
40,賭博,宜蘭偏漳腔,跋筊,puā-kiáu
40,賭博,臺南混合腔,跋筊,pua̍h-kiáu
40,賭博,高雄混合腔,跋筊,pua̍h-kiáu
40,賭博,金門偏泉腔,跋筊,pua̍h-kiáu
40,賭博,馬公偏泉腔,跋筊,pua̍h-kiáu
40,賭博,新竹偏泉腔,跋筊,pua̍h-kiáu
40,賭博,臺中偏漳腔,跋筊,pua̍h-kiáu
41,賭場,鹿港偏泉腔,筊間,kiáu-king
41,賭場,三峽偏泉腔,筊間,kiáu-king
41,賭場,臺北偏泉腔,筊間,kiáu-king
41,賭場,宜蘭偏漳腔,筊場,kiáu-tiûnn
41,賭場,宜蘭偏漳腔,筊間,kiáu-king
41,賭場,宜蘭偏漳腔,筊窟,kiáu-khut
41,賭場,臺南混合腔,筊間,kiáu-king
41,賭場,高雄混合腔,筊間,kiáu-king
41,賭場,金門偏泉腔,筊場,kiáu-tiûnn
41,賭場,馬公偏泉腔,筊場,kiáu-tiûnn
41,賭場,新竹偏泉腔,筊場,kiáu-tiûnn
41,賭場,臺中偏漳腔,筊場,kiáu-tiûnn
42,抽頭,鹿港偏泉腔,東筊,tong-kiáu
42,抽頭,三峽偏泉腔,抽頭,thiu-thâu
42,抽頭,臺北偏泉腔,東筊,tong-kiáu
42,抽頭,宜蘭偏漳腔,東筊,tong-kiáu
42,抽頭,宜蘭偏漳腔,挨筊,e-kiáu
42,抽頭,臺南混合腔,東筊,tong-kiáu
42,抽頭,高雄混合腔,東筊,tong-kiáu
42,抽頭,金門偏泉腔,東筊,tong-kiáu
42,抽頭,馬公偏泉腔,東筊,tong-kiáu
42,抽頭,新竹偏泉腔,東筊,tong-kiáu
42,抽頭,臺中偏漳腔,抽東仔,thiu-tong-á
44,騙子,鹿港偏泉腔,諞仙,pián-sian
44,騙子,三峽偏泉腔,術仔,su̍t-á
44,騙子,三峽偏泉腔,諞仙仔,pián-sian-á
44,騙子,臺北偏泉腔,諞仙仔,pián-sian-á
44,騙子,宜蘭偏漳腔,佬仔,láu-á
44,騙子,宜蘭偏漳腔,諞仙仔,pián-sian-á
44,騙子,臺南混合腔,諞仙仔,pián-sian-á
44,騙子,高雄混合腔,諞仙仔,pián-sian-á
44,騙子,馬公偏泉腔,諞仙,pián-sian
44,騙子,馬公偏泉腔,騙子,phiàn-tsú
44,騙子,新竹偏泉腔,諞仙仔,pián-sian-á
44,騙子,臺中偏漳腔,諞仙仔,pián-sian-á
45,小偷,鹿港偏泉腔,賊仔,tsha̍t-á
45,小偷,三峽偏泉腔,賊仔,tsha̍t-á
45,小偷,臺北偏泉腔,賊仔,tsha̍t-á
45,小偷,宜蘭偏漳腔,勍仔,khiang-á
45,小偷,臺南混合腔,賊仔,tsha̍t-á
45,小偷,高雄混合腔,勍仔,khiang-á
45,小偷,金門偏泉腔,鼠賊仔,tshír-tsha̍t--á
45,小偷,馬公偏泉腔,賊,tsha̍t
45,小偷,新竹偏泉腔,賊仔,tsha̍t-á
45,小偷,臺中偏漳腔,賊仔,tsha̍t-á
46,扒手,鹿港偏泉腔,剪綹,tsián-liú
46,扒手,三峽偏泉腔,剪綹仔,tsián-liú-á
46,扒手,臺北偏泉腔,剪綹仔,tsián-liú-á
46,扒手,宜蘭偏漳腔,剪綹仔,tsián-liú-á
46,扒手,臺南混合腔,剪綹仔,tsián-liú-á
46,扒手,高雄混合腔,剪綹仔,tsián-liú-á
46,扒手,金門偏泉腔,剪綹仔,tsián-liú--á
46,扒手,馬公偏泉腔,剪綹仔,tsián-liú--á
46,扒手,新竹偏泉腔,剪綹仔,tsián-liú-á
46,扒手,臺中偏漳腔,剪綹仔,tsián-liú-á
48,早死(詈語),鹿港偏泉腔,夭壽仔,iáu-siū-á
48,早死(詈語),臺北偏泉腔,夭壽仔,iáu-siū-á
