詞目id,義項id,例句順序,漢字,羅馬字,華語,音檔檔名
43,69,2,洗了無清氣。,Sé liáu bô tshing-khì.,洗得不乾淨。,43-5-2
44,70,1,第二,tē-jī,第二,44-1-1
45,71,1,人類,jîn-luī,人類,45-1-1
45,72,1,人情,jîn-tsîng,人情,45-2-1
45,72,2,人事,jîn-sū,人事,45-2-2
45,73,1,聖人,sìng-jîn,聖人,45-3-1
45,73,2,軍人,kun-jîn,軍人,45-3-2
46,74,1,做牛著拖，做人著磨。,"Tsò gû tio̍h thua, tsò lâng tio̍h buâ.",做牛得要拖犁耕田，做人得受生活的折磨。,46-1-1
46,75,1,莫共人講！,Mài kā lâng kóng!,不要跟別人說！,46-2-1
46,75,2,予人看無,hōo lâng khuànn-bô,讓別人瞧不起,46-2-2
46,76,1,好人,hó-lâng,好人,46-3-1
46,76,2,讀冊人,tha̍k-tsheh-lâng,讀書人,46-3-2
46,76,3,中人,tiong-lâng,仲介者,46-3-3
46,77,1,人毋管啦！,Lâng m̄-kuán--lah!,我不管啦！,46-4-1
46,78,1,伊人真好。,I lâng tsin hó.,他待人很好。,46-5-1
46,78,2,人無爽快,lâng bô sóng-khuài,身體不舒服,46-5-2
47,79,1,入去,ji̍p--khì,進去,47-1-1
47,79,2,入來,ji̍p--lâi,進來,47-1-2
47,80,1,入被,ji̍p phuē,把被子裝進被套裡,47-2-1
47,81,1,收入,siu-ji̍p,收入,47-3-1
47,81,2,入數,ji̍p siàu,入帳,47-3-2
48,82,1,三八婦女節,Sam-pat Hū-lí-tseh,三八婦女節,48-1-1
49,83,1,八个人,peh ê lâng,八個人,49-1-1
50,84,1,鉸刀,ka-to,剪刀,50-1-1
50,85,1,伊昨暝去予人刣幾若刀。,I tsa-mê khì hōo lâng thâi kuí-nā to.,他昨晚被人砍了好幾刀。,50-2-1
50,86,1,伊欲買一刀紙。,I beh bé tsi̍t to tsuá.,他想買一刀紙。,50-3-1
51,87,1,𪜶頭家真𠢕共人刁。,In thâu-ke tsin gâu kā lâng tiau.,他們的老闆很會為難人。,51-1-1
51,88,1,刁故意,tiau-kòo-ì,故意,51-2-1
51,88,2,刁工,tiau-kang,故意,51-2-2
52,89,1,無力,bô-la̍t,沒有力氣,52-1-1
52,89,2,氣力,khuì-la̍t,力氣,52-1-2
53,90,1,力量,li̍k-liōng,力量,53-1-1
53,91,1,財力,tsâi-li̍k,財力,53-2-1
53,91,2,兵力,ping-li̍k,兵力,53-2-2
54,92,1,十个人,tsa̍p ê lâng,十個人,54-1-1
54,93,1,十喙九尻川,tsa̍p-tshuì káu kha-tshng,人多嘴雜,54-2-1
55,94,1,十五音,si̍p-ngóo-im,十五音,55-1-1
55,94,2,十八仔,si̍p-pat-á,骰子,55-1-2
55,95,1,十全十美,si̍p-tsuân-si̍p-bí,十分的完美,55-2-1
55,96,1,十字路,si̍p-jī-lōo,十字路口,55-3-1
55,96,2,紅十字會,Âng-si̍p-jī-huē,國際救援組織,55-3-2
56,97,1,卜看覓咧！,Poh khuànn-māi--leh!,試試看囉！,56-1-1
57,98,1,我來卜一下仔卦咧。,Guá lâi pok tsi̍t-ē-á kuà--leh.,我來卜一下卦。,57-1-1
58,99,1,食又欲食，穡又毋做，真害！,"Tsia̍h iū beh tsia̍h, sit iū m̄ tsò, tsin hāi!",吃又要吃，工作又不肯做，真糟糕！,58-1-1
60,101,1,鳥鼠予貓掠了了矣。,Niáu-tshí hōo niau lia̍h-liáu-liáu--ah.,老鼠被貓抓光光了。,60-1-1
61,102,1,這个袂使，彼个毋通，全你的意見了了。,"Tsit ê bē-sái, hit ê m̄-thang, tsuân lí ê ì-kiàn--liáu-liáu.",這個不行，那個不可以，你的意見真多。,61-1-1
62,103,1,恁新婦人人呵咾。,Lín sin-pū lâng-lâng o-ló.,你媳婦人人稱讚。,62-1-1
63,104,1,十二分的感謝,tsa̍p-jī-hun ê kám-siā,萬分感謝,63-1-1
64,106,1,時機誠䆀，害我十二生相變透透嘛變無撚。,"Sî-ki tsiânn bái, hāi guá tsa̍p-jī senn-siùnn piàn-thàu-thàu mā piàn-bô-lián.",時機很不好，害我各種行業都做過了也沒輒。比喻一直換工作都沒出路。,64-2-1
66,108,1,二九暝家家戶戶攏咧圍爐。,Jī-káu-mê ke-ke-hōo-hōo lóng teh uî-lôo.,農曆新年除夕晚上家家戶戶都在圍爐。,66-1-1
68,110,1,查某囡仔十八變。,Tsa-bóo gín-á tsa̍p-peh-piàn.,女大十八變。,68-1-1
70,112,1,了工閣蝕本。,Liáu-kang koh si̍h-pún.,白費工夫又賠錢。比喻賠了夫人又折兵。,70-1-1
71,113,1,割稻仔的人工愈濟就愈緊割了。,Kuah-tiū-á ê lâng-kang jú tsē tō jú kín kuah-liáu.,越多人割稻就越快完工。,71-1-1
71,114,1,臺灣現此時的人工真貴。,Tâi-uân hiān-tshú-sî ê lâng-kang tsin kuì.,臺灣現在的工資很貴。,71-2-1
72,115,1,恁囝婿的人才生做袂䆀。,Lín kiánn-sài ê lâng-tsâi senn-tsò bē-bái.,你女婿外表長得不錯。,72-1-1
73,116,1,入土為安,ji̍p-thóo uî an,入土為安,73-1-1
74,117,1,我刁工來看你。,Guá thiau-kang lâi khuànn--lí.,我專程來看你。,74-1-1
74,118,1,你愈講，伊愈刁工。,"Lí jú kóng, i jú thiau-kang.",你越說，他越是故意和你唱反調。,74-2-1
75,119,1,算命的講，人中長的人較長歲壽。,"Sǹg-miā--ê kóng, jîn-tiong tn̂g ê lâng khah tn̂g-huè-siū.",算命的說，人中長的人壽命比較長。,75-1-1
76,120,1,人有七孔。,Lâng ū tshit-khóng.,人有七竅。,76-1-1
78,122,1,伊是二手，毋是頭手。,"I sī jī-tshiú, m̄ sī thâu-tshiú.",他是助手，不是師傅。,78-1-1
78,123,1,物件買二手的較俗。,Mi̍h-kiānn bé jī-tshiú--ê khah sio̍k.,東西買中古的比較便宜。,78-2-1
80,125,1,八仙綵,pat-sian-tshái,繡有八仙的紅彩，在喜慶時掛在門楣上,80-1-1
84,129,1,你莫共伊刁古董。,Lí mài kā i tiau-kóo-tóng.,你不要為難他。,84-1-1
85,130,1,伊一禮拜至少愛賣三百个，才袂了本。,"I tsi̍t lé-pài tsì-tsió ài bē sann-pah ê, tsiah bē liáu-pún.",他一星期至少要賣三百個，才不會虧本。,85-1-1
87,132,1,人生短短仔,jîn-sing té-té--á,人生苦短,87-1-1
88,133,1,刀石提來磨刀仔。,To-tsio̍h the̍h-lâi buâ to-á.,磨刀石拿來磨刀子。,88-1-1
89,134,1,媠，媠無十全；䆀，䆀無加圇。,"Suí, suí bô tsa̍p-tsn̂g; bái, bái bô ka-nn̂g.",人不會是十全十美的。,89-1-1
90,135,1,十全大補湯,si̍p-tsuân tāi póo-thng,合人參、白朮、茯苓、甘草、熟地、白芍、當歸、川芎、黃茋、肉桂等十種藥材的補藥。,90-1-1
90,136,1,十全十美,si̍p-tsuân-si̍p-bí,十全十美,90-2-1
91,137,1,算命仙的講𪜶兩人的八字袂合。,Sǹg-miā sian--ê kóng in nn̄g lâng ê peh-jī bē ha̍h.,算命先生說他們兩人的八字不合。,91-1-1
96,143,1,七早八早，你就想欲歇睏？,"Tshit-tsá-peh-tsá, lí tō siūnn-beh hioh-khùn?",時間還早，你就想休息？,96-2-1
97,144,1,你講閣較濟伊嘛聽袂入耳。,Lí kóng koh-khah tsē i mā thiann bē ji̍p-ní.,你說再多他也聽不進去。,97-1-1
99,146,1,食甲七老八老矣，猶閣毋認老。,"Tsia̍h kah tshit-lāu-peh-lāu--ah, iáu-koh m̄ jīn-lāu.",活到七老八十了，還不認老。,99-1-1
100,147,1,你著較拍拚咧，毋通做了尾仔囝。,"Lí tio̍h khah phah-piànn--leh, m̄-thang tsò liáu-bué-á-kiánn.",你要更努力一點，不要做敗家子。,100-1-1
101,148,1,講著種花伊閣有二步七仔！,Kóng-tio̍h tsìng hue i koh ū--jī-pōo-tshit-á!,說到種花他還有點能耐！,101-1-1
103,150,1,睏飽了後，氣力十足。,"Khùn-pá liáu-āu, khuì-la̍t tsa̍p-tsiok.",一覺睡醒之後，全身都充滿了活力。,103-1-1
104,151,1,九芎仔柴,kiú-kiong-á-tshâ,九芎樹,104-1-1
105,152,1,人事室,jîn-sū-sik,管理機關人員的辦公處所,105-1-1
105,153,1,盡人事順天意。,Tsīn jîn-sū sūn thinn-ì.,盡人事聽天命。,105-2-1
105,154,1,過年時仔伊會用外國酒來做人事。,Kuè-nî-sî-á i ē īng guā-kok tsiú lâi tsò jîn-sū.,過年的時候他會用外國酒來做公關。,105-3-1
108,158,1,陳家二房的囝孫仔攏真老實。,Tân--ka jī-pâng ê kiánn-sun-á lóng tsin láu-si̍t.,陳家二房的子孫都很老實。,108-1-1
109,159,1,大人物,tuā-jîn-bu̍t,有地位有名望的人,109-1-1
110,160,1,十花五色的人,tsa̍p-hue-gōo-sik ê lâng,形形色色的人,110-1-1
111,161,1,我今仔入門，電話就來矣。,"Guá tann-á ji̍p-mn̂g, tiān-uē tō lâi--ah.",我剛進門，電話就來了。,111-1-1
111,162,1,我想欲趕緊共你娶入門。,Guá siūnn-beh kuánn-kín kā lí tshuā ji̍p-mn̂g.,我想要趕快將你娶進門。,111-2-1
111,163,1,學音樂，我拄入門。,"O̍h im-ga̍k, guá tú ji̍p-mn̂g.",學音樂，我才剛剛入門。,111-3-1
111,164,1,哲學入門,tiat-ha̍k ji̍p-mn̂g,哲學入門,111-4-1
112,165,1,咱愛好好仔招待人客。,Lán ài hó-hó-á tsiau-thāi lâng-kheh.,我們要好好招呼客人。,112-1-1
112,165,2,店內人客真濟。,Tiàm-lāi lâng-kheh tsin tsē.,店裡顧客很多。,112-1-2
113,166,1,你出門了後，伊就醒矣。,"Lí tshut-mn̂g liáu-āu, i tō tshénn--ah.",你出去之後，他就醒了。,113-1-1
114,167,1,七星陣,tshit-tshenn-tīn,依照北斗七星排列所設的陣式,114-1-1
115,168,1,大姊昨昏二指去予玻璃幼仔割著。,Tuā-tsí tsa-hng jī-tsáinn khì hōo po-lê-iù-á kuah--tio̍h.,大姊昨天食指被碎玻璃割到。,115-1-1
116,169,1,伊是刁持欲佮我做對的。,I sī tiau-tî beh kah guá tsò-tuì--ê.,他是故意要和我作對的。,116-1-1
116,170,1,我是刁持來看你的。,Guá sī tiau-tî lâi khuànn--lí--ê.,我是特別來看你的。,116-2-1
117,171,1,伊刁故意欲講予你氣。,I tiau-kòo-ì beh kóng hōo lí khì.,他故意這麼說要惹你生氣。,117-1-1
119,174,1,你毋通遐八珍。,Lí m̄-thang hiah pat-tin.,你不要這麼三八。,119-2-1
120,175,1,伊的人面真闊，拜託伊就無毋著！,"I ê lâng-bīn tsin khuah, pài-thok--i tō bô m̄-tio̍h!",他的人脈很廣，拜託他就沒錯！,120-1-1
121,176,1,這个案件是人倫悲劇。,Tsit ê àn-kiānn sī jîn-lûn pi-kio̍k.,這個案件是人倫悲劇。,121-1-1
122,177,1,公務人員,kong-bū jîn-uân,公務人員,122-1-1
122,178,1,阮這个單位的人員無夠，工課才會做袂完。,"Guán tsit ê tan-uī ê jîn-uân bô-kàu, khang-khuè tsiah ē tsò bē uân.",我們這個單位的人數不足，工作才完成不了。,122-2-1
123,179,1,你當時欲入厝？,Lí tang-sî beh ji̍p-tshù?,你何時要搬入新家？,123-1-1
123,179,2,咱愛包禮共伊入厝。,Lán ài pau-lé kā i ji̍p-tshù.,我們要包禮慶賀他入新家。,123-1-2
126,182,1,一戶人家,tsi̍t hōo jîn-ke,一戶人家,126-1-1
129,185,1,做人愛重人格。,Tsò-lâng ài tiōng jîn-keh.,為人要注重人格。,129-1-1
129,185,2,我用人格共你保證。,Guá iōng jîn-keh kā lí pó-tsìng.,我用人格跟你保證。,129-1-2
130,186,1,伊閣不止仔有人氣。,I koh put-tsí-á ū jîn-khì.,他的人緣還算不錯。,130-1-1
132,188,1,兩隊人馬佇街仔路相拄。,Nn̄g tuī jîn-má tī ke-á-lōo sio-tú.,兩隊人馬在街道相遇。,132-1-1
133,189,1,伊昨暗入院。,I tsa-àm ji̍p-īnn.,他昨晚住院。,133-1-1
135,191,1,做人情予伊。,Tsò-jîn-tsîng hōo--i.,給他一個人情。,135-1-1
135,192,1,人在人情在。,Jîn tsāi jîn-tsîng tsāi.,人在人際關係就在。,135-2-1
136,193,1,人情世事有夠濟。,Jîn-tsîng-sè-sū ū-kàu tsē.,禮尚往來的事情有夠多。,136-1-1
138,195,1,伊真有人望。,I tsin ū jîn-bōng.,他很有名氣。,138-1-1
139,196,1,人造雨,jîn-tsō-hōo,人造雨,139-1-1
140,197,1,這支刀的刀喙真利。,Tsit ki to ê to-tshuì tsin lāi.,這把刀的刀口很鋒利。,140-1-1
141,198,1,戲園五點才會使入場。,Hì-hn̂g gōo tiám tsiah ē-sái ji̍p-tiûnn.,戲院五點才能進場。,141-1-1
142,199,1,這个囡仔欲食毋討趁，有夠了然。,"Tsit ê gín-á beh tsia̍h m̄ thó-thàn, ū-kàu liáu-jiân.",這個孩子只顧白食不肯賺錢，實在枉然。,142-1-1
143,200,1,咱愛靠家己的力量拚出咱家己的前途。,Lán ài khò ka-kī ê li̍k-liōng piànn-tshut lán ka-kī ê tsiân-tôo.,我們要靠自己的能力拚出自己的前途。,143-1-1
144,201,1,伊毋是刁意故的。,I m̄ sī thiau-ì-kòo--ê.,他不是故意的。,144-1-1
147,204,1,伊又閣來矣。,I iū-koh lâi--ah.,他又來了。,147-1-1
148,205,1,規間厝恬恬無聲，連半个人影嘛無。,"Kui king tshù tiām-tiām bô-siann, liân puànn ê lâng-iánn mā bô.",整間屋子靜悄悄的，連半個人影都沒有。,148-1-1
149,206,1,用九層塔煎卵真好食。,Iōng káu-tsàn-thah tsian nn̄g tsin hó-tsia̍h.,用九層塔煎蛋很好吃。,149-1-1
150,207,1,伊的人範袂䆀。,I ê lâng-pān bē-bái.,他的人品不錯。,150-1-1
151,208,1,伊真有人緣。,I tsin ū-lâng-iân.,他很有人緣。,151-1-1
152,209,1,我今年就欲入學去讀冊矣！,Guá kin-nî tō beh ji̍p-o̍h khì tha̍k-tsheh--ah!,我今年就要入學去讀書了！,152-1-1
153,210,1,伊彼幅圖有入選無？,I hit pak tôo ū ji̍p-suán--bô?,他那幅畫有沒有入選？,153-1-1
154,211,1,伊做啥物生理攏了錢。,I tsò siánn-mih sing-lí lóng liáu-tsînn.,他做什麼生意都賠錢。,154-1-1
154,212,1,這號物件都已經有矣，你閣欲買，加了錢的。,"Tsit-lō mi̍h-kiānn to í-king ū--ah, lí koh beh bé, ke liáu-tsînn--ê.",這個東西已經有了，你還要買，多花錢而已。,154-2-1
155,214,1,這間店是算人頭收錢的。,Tsit king tiàm sī sǹg lâng-thâu siu tsînn--ê.,這家商店是按人數收錢的。,155-2-1
155,215,1,警察掠著的是人頭，毋是真正的頭家。,"Kíng-tshat lia̍h--tio̍h--ê sī lâng-thâu, m̄ sī tsin-tsiànn ê thâu-ke.",警察捉到的是人頭帳戶，而不是背後的主使者。,155-3-1
156,216,1,力頭真飽,la̍t-thâu tsin pá,力道真大,156-1-1
159,219,1,無佮意你就講，何乜苦共伊刁難？,"Bô kah-ì lí tō kóng, hô-mí-khóo kā i thiau-lân?",不喜歡你就說嘛，又何必故意為難他？,159-1-1
162,222,1,三生有幸,sam-sing-iú-hīng,三生有幸,162-1-1
163,223,1,三隻狗,sann tsiah káu,三條狗,163-1-1
164,224,1,上車,tsiūnn-tshia,上車,164-1-1
164,224,2,上山,tsiūnn-suann,上山,164-1-2
164,225,1,上桌,tsiūnn-toh,把食物或其他東西端上桌,164-2-1
165,226,1,上水,tshiūnn-tsuí,從井裡頭用水桶把水打上來,165-1-1
165,227,1,上青苔,tshiūnn-tshenn-thî,長青苔,165-2-1
166,228,1,水面上,tsuí-bīn-siōng,水面上,166-1-1
166,229,1,上好,siōng-hó,最好,166-2-1
167,230,1,天跤下,thinn-kha-ē,天底下,167-1-1
167,231,1,拍三下,phah sann ē,打三下,167-2-1
167,231,2,驚一下,kiann tsi̍t-ē,嚇一跳,167-2-2
168,232,1,下班,hā-pan,下班,168-1-1
168,232,2,下課,hā-khò,下課,168-1-2
168,233,1,下令,hā-līng,宣布命令,168-2-1
168,234,1,南下,lâm-hā,往南部去,168-3-1
168,235,1,下集,hā tsi̍p,下集,168-4-1
168,235,2,下級,hā-kip,下級,168-4-2
169,236,1,物件無位通下。,Mi̍h-kiānn bô uī thang hē.,東西沒地方放。,169-1-1
169,236,2,下鹽,hē iâm,在食物中放鹽,169-1-2
169,237,1,乞食下大願。,Khit-tsia̍h hē tuā guān.,乞丐許大願。比喻人明明沒有能力，卻好高騖遠。,169-2-1
170,238,1,懸低,kuân-kē,高低,170-1-1
170,238,2,低音,kē-im,低音,170-1-2
171,239,1,兩个人,nn̄g ê lâng,兩個人,171-1-1
172,241,1,魚丸,hî-uân,魚肉製成的小丸子,172-1-1
172,242,1,彼兩丸烏烏的物件是啥物？,Hit nn̄g uân oo-oo ê mi̍h-kiānn sī siánn-mih?,那兩球黑黑的東西是什麼？,172-2-1
173,243,1,伊離開真久矣。,I lī-khui tsin kú--ah.,他離開很久了。,173-1-1
173,244,1,等一點鐘久矣。,Tán tsi̍t tiám-tsing kú--ah.,等了一小時了。,173-2-1
173,244,2,這久,tsit-kú,現在,173-2-2
173,244,3,彼久,hit-kú,那時候,173-2-3
174,245,1,么二三,io jī sann,一二三,174-1-1
175,246,1,乞符仔,khit hû-á,向道士求討符咒,175-1-1
175,246,2,乞雨,khit hōo,求雨,175-1-2
176,247,1,這項物件有也好，無也好，攏無要緊。,"Tsit hāng mi̍h-kiānn ū iā hó, bô iā hó, lóng bô iàu-kín.",這個東西可有可無，都沒關係。,176-1-1
177,248,1,亡國,bông-kok,亡國,177-1-1
177,249,1,亡兄,bông-hing,亡兄,177-2-1
177,250,1,新亡,sin-bông,新死者、剛過世的人,177-3-1
177,250,2,傷亡,siong-bông,傷者和死者,177-3-2
177,251,1,流亡,liû-bông,流亡,177-4-1
178,252,1,平凡,pîng-huân,平常、不出色,178-1-1
178,253,1,凡事,huân-sū,無論什麼事情,178-2-1
179,254,1,凡間,huān-kan,凡間,179-1-1
179,254,2,仙女下凡,sian-lí hā-huān,仙女下凡,179-1-2
180,256,1,千辛萬苦,tshian-sin-bān-khóo,千辛萬苦,180-2-1
181,257,1,一千箍,tsi̍t-tshing khoo,一千元,181-1-1
182,258,1,開叉,khui-tshe,開叉,182-1-1
182,258,2,竹篙叉,tik-ko-tshe,有Y字型開叉竹竿的樹椏,182-1-2
182,259,1,叉人的頷頸。,Tshe lâng ê ām-kún.,掐別人的脖子。,182-2-1
182,260,1,拍叉做記號。,Phah tshe tsò kì-hō.,打叉做記號。,182-3-1
182,261,1,用話叉人,īng uē tshe--lâng,用話頂撞別人,182-4-1
183,263,1,店門口,tiàm mn̂g-kháu,商店門口,183-2-1
183,264,1,一口井,tsi̍t kháu tsénn,一口井,183-3-1
183,264,2,一口劍,tsi̍t kháu kiàm,一把劍,183-3-2
183,265,1,一家口,tsi̍t ke-kháu,一家人,183-4-1
183,266,1,一口灶,tsi̍t kháu-tsàu,一戶,183-5-1
