義項id,詞目漢字,解說,對應義項id,對應詞目漢字,對應解說
50,一點仔,一點兒、一 點點。形容數量極少。,47,一寡仔,一點點、一些些。
50,一點仔,一點兒、一 點點。形容數量極少。,18759,一疕仔,一小片、一點點。形容微不足道，帶有貶義。
50,一點仔,一點兒、一 點點。形容數量極少。,22922,分分仔,一點兒。
53,一觸久仔,一會兒、一下子。,23043,一下仔,一下子、一會兒。表示極短的時間。
65,了,表示動作結束、完畢。或是表示動作的時間狀況。,101,了了,光光、窮盡、完全沒有了。當作動詞補語。
65,了,表示動作結束、完畢。或是表示動作的時間狀況。,3150,好,表示完成、結束。
65,了,表示動作結束、完畢。或是表示動作的時間狀況。,4214,完,完畢、結束、沒有剩餘。
65,了,表示動作結束、完畢。或是表示動作的時間狀況。,10948,透,完結、完畢。
84,刀,供切、削、剪、刻、割、斬等用途的工具。,126,刀仔,小刀。
87,刁,刁難、為難。,129,刁古董,刻意作弄、為難別人。
87,刁,刁難、為難。,219,刁難,故意為難。
87,刁,刁難、為難。,23032,欹,刻意刁難或為難人家。
89,力,力量、氣力。,8622,氣力,力氣、力量。
99,又,再、復。,14927,閣,又、再、還。
100,十一哥,單身漢。,17436,羅漢跤仔,無家可歸的流浪漢。
101,了了,光光、窮盡、完全沒有了。當作動詞補語。,65,了,表示動作結束、完畢。或是表示動作的時間狀況。
104,十二分,非常、很。用來形容程度極深。,4735,足,非常、很、十分。也可唸作tsok。
104,十二分,非常、很。用來形容程度極深。,13802,誠,很、非常。
109,十八骰仔,骰子。一種遊戲或賭博用的小方塊。六面分別刻上一、二、三、四、五、六點，一、四漆紅色，其餘為黑色。,14954,骰仔,骰子。一種遊戲或賭博用的小方塊。六面分別刻上一、二、三、四、五、六點，一、四漆紅色，其餘為黑色。
111,七夕,農曆七月初七夜晚。相傳天上的牛郎、織女會在當晚相會。對臺灣人來說，七月初七是「七娘媽生」(Tshit-niû-má-senn)，臺南還有「做十六歲」(tsò tsa̍p-la̍k huè)的習俗。,181,七娘媽生,農曆七月初七。七星娘娘誕辰。「七娘媽」就是七星娘娘，傳說是孩童的保護神。以前農業社會醫藥不發達，孩子常夭折或生病，所以人們會祈求「七娘媽」保佑小孩平安長大，因此等到孩童十六歲(舊時十六歲即成年)七月初七當天，便舉行祭祀以酬謝「七娘媽」。
112,了工,白費工夫。,11916,無彩工,徒勞無功、白費工夫、枉費工夫。
113,人工,人力、人手。人的勞動力或是指可以工作的人。,13821,跤手,人手。提供幫助的人力。
117,刁工,專程、特地。,170,刁持,特地、特意。
117,刁工,專程、特地。,9915,專工,特地、專程。
118,刁工,故意。,171,刁故意,存心、故意。
118,刁工,故意。,201,刁意故,故意、存心。
118,刁工,故意。,3202,存心,心懷某種意念、居心。
122,二手,副手、助手、助理。技術工作中的助手、協助處理事務的人。,9639,副手,助手。協助處理事務的人。
123,二手,中古貨。已經使用過，又再出售的貨品。,867,中古,半新不舊。
124,入木,入殮。把死者放進棺木中。,217,入殮,將亡者的遺體放入棺木中。
126,刀仔,小刀。,84,刀,供切、削、剪、刻、割、斬等用途的工具。
129,刁古董,刻意作弄、為難別人。,87,刁,刁難、為難。
129,刁古董,刻意作弄、為難別人。,219,刁難,故意為難。
129,刁古董,刻意作弄、為難別人。,23032,欹,刻意刁難或為難人家。
130,了本,蝕本、虧本。,12875,塌本,倒貼、虧本、賠本。未得到應得的利益，反而還要出錢。
130,了本,蝕本、虧本。,12911,塌錢,貼錢。賠補不夠的錢。
131,人民,百姓、國民。居住在一國家內具有應享權利與應盡義務的人。,874,公民,凡年滿二十歲，在某一行政區域內連續居住六個月以上，沒有被褫奪公權，或受禁治產宣告的居民。
131,人民,百姓、國民。居住在一國家內具有應享權利與應盡義務的人。,2432,民眾,泛指一般人民。
134,十全,完滿、齊全。完美無缺憾。,4259,完全,完整齊全，一點也不差。
134,十全,完滿、齊全。完美無缺憾。,14986,齊全,詳盡、完備。
134,十全,完滿、齊全。完美無缺憾。,21963,加圇,完整的；全部的。
136,十全,完美、齊全。完美無缺憾。,21963,加圇,完整的；全部的。
137,八字,中國傳統命相學家，用人出生的年、月、日、時，以天干、地支配合成八個字，來推斷一生的命運。,2679,生時日月,生辰八字。出生時候的年、月、日、時；時常被拿來斷定一個人的命運。
142,七早八早,一大清早。,11007,透早,大清早、七早八早。
148,二步七仔,本事、本領。形容人對事情有一點處理的本事、能力。,702,才調,本事、能力。
148,二步七仔,本事、本領。形容人對事情有一點處理的本事、能力。,2379,本事,才幹、才能。
148,二步七仔,本事、本領。形容人對事情有一點處理的本事、能力。,2450,本等,本領、本事。
165,人客,客人、賓客、顧客。,6825,客戶,指商業行為上的消費者或買方。
165,人客,客人、賓客、顧客。,17881,顧客,到商店購買東西的人。
168,二指,食指。,7058,指指,食指。第二個手指頭。
169,刁持,故意、存心。,171,刁故意,存心、故意。
169,刁持,故意、存心。,201,刁意故,故意、存心。
170,刁持,特地、特意。,117,刁工,專程、特地。
170,刁持,特地、特意。,9915,專工,特地、專程。
171,刁故意,存心、故意。,118,刁工,故意。
171,刁故意,存心、故意。,169,刁持,故意、存心。
171,刁故意,存心、故意。,201,刁意故,故意、存心。
171,刁故意,存心、故意。,3202,存心,心懷某種意念、居心。
174,八珍,三八。形容人的言行不莊重。,331,三八,傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。
174,八珍,三八。形容人的言行不莊重。,342,三八氣,傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。
178,人員,人數。,13821,跤手,人手。提供幫助的人力。
181,七娘媽生,農曆七月初七。七星娘娘誕辰。「七娘媽」就是七星娘娘，傳說是孩童的保護神。以前農業社會醫藥不發達，孩子常夭折或生病，所以人們會祈求「七娘媽」保佑小孩平安長大，因此等到孩童十六歲(舊時十六歲即成年)七月初七當天，便舉行祭祀以酬謝「七娘媽」。,111,七夕,農曆七月初七夜晚。相傳天上的牛郎、織女會在當晚相會。對臺灣人來說，七月初七是「七娘媽生」(Tshit-niû-má-senn)，臺南還有「做十六歲」(tsò tsa̍p-la̍k huè)的習俗。
183,人家厝仔,民宅。,10064,徛家,住家。
183,人家厝仔,民宅。,19292,徛家厝,民宅、住家。
186,人氣,人緣、人望。源自日語「人気（にんき）」。,195,人望,眾人矚目。
186,人氣,人緣、人望。源自日語「人気（にんき）」。,208,人緣,與人相處時，其相貌、個性、舉止受人歡迎的狀況。
187,刀砧,砧板。切割魚肉或蔬果時所墊的板子。,3750,肉砧,專供烹飪，切割肉類的砧板。也引申作遭受凌辱、欺負的對象。
187,刀砧,砧板。切割魚肉或蔬果時所墊的板子。,19382,菜砧,砧板。以刀切食材時，墊在下面的板子。
189,入院,住院。因為生病住進醫院就醫。,19597,蹛院,住院。
190,人參,草本植物。根和葉都可以做藥，是昂貴的中藥材。因為形狀像人，所以稱為「人參」。,9584,高麗,高麗參。根莖類。為人參的一種。因為產於朝鮮半島，所以才有此名。
190,人參,草本植物。根和葉都可以做藥，是昂貴的中藥材。因為形狀像人，所以稱為「人參」。,9585,高麗參,朝鮮半島上所生產的人參。
190,人參,草本植物。根和葉都可以做藥，是昂貴的中藥材。因為形狀像人，所以稱為「人參」。,9767,參仔,人參。根莖類。多年生宿根草本植物。主根較為肥大，而且形狀像人形，所以叫「人參」。葉與根皆可入藥，在中藥裡是高級的滋補藥材。
195,人望,眾人矚目。,186,人氣,人緣、人望。源自日語「人気（にんき）」。
200,力量,力氣、能力。,216,力頭,力氣、力道。
200,力量,力氣、能力。,8622,氣力,力氣、力量。
200,力量,力氣、能力。,18769,力草,力氣體力。
201,刁意故,故意、存心。,118,刁工,故意。
201,刁意故,故意、存心。,169,刁持,故意、存心。
201,刁意故,故意、存心。,171,刁故意,存心、故意。
201,刁意故,故意、存心。,3202,存心,心懷某種意念、居心。
202,七爺,神明的名稱。名字為謝必安，身材高大，和八爺范無救為好友，因為守信守義而死，死後被封入神界，是城隍爺出巡時的重要配祀神明。,21947,躼跤蠓,高個子。稱身材高的人。
203,刀銎,刀背。指刀無刃的一邊。,14923,銎,刀背。
205,人影,人的影子，也可以用來指人。,18697,影跡,形跡、蹤跡。
208,人緣,與人相處時，其相貌、個性、舉止受人歡迎的狀況。,186,人氣,人緣、人望。源自日語「人気（にんき）」。
211,了錢,賠錢、虧本。,8044,倒貼,虧本、賠本。
211,了錢,賠錢、虧本。,12446,貼本,賠本、蝕本。虧損資金本錢。
211,了錢,賠錢、虧本。,12875,塌本,倒貼、虧本、賠本。未得到應得的利益，反而還要出錢。
211,了錢,賠錢、虧本。,15663,賠錢,賠償金錢。
216,力頭,力氣、力道。,200,力量,力氣、能力。
216,力頭,力氣、力道。,8622,氣力,力氣、力量。
216,力頭,力氣、力道。,18769,力草,力氣體力。
217,入殮,將亡者的遺體放入棺木中。,124,入木,入殮。把死者放進棺木中。
219,刁難,故意為難。,87,刁,刁難、為難。
219,刁難,故意為難。,129,刁古董,刻意作弄、為難別人。
219,刁難,故意為難。,23032,欹,刻意刁難或為難人家。
236,下,放置、加進去。,4161,囥,放入。
236,下,放置、加進去。,14444,摻,加入、混合。
241,丸,又小又圓的物體。,404,丸仔,丸子。團狀、丸狀的東西或食品。
243,久,指時間的長久、長遠。,6342,長,形容時間的久遠。
245,么,最小的數字，「一」的另一種稱呼。,4,一,數字。
247,也,亦。表示相同關係。,14249,嘛,也 。
290,子,計算香蕉的單位，等同於「根」。,10837,莢,計算香蕉或豆莢類植物果實的單位。
299,山,地形隆起的部分。,724,山嶺,山脈。連綿的高山。
302,工,計算天數的單位。,1109,日,計算天數的單位。
312,巾,可擦拭、披用、包蓋的方型或長方型的布，都可以說是巾。,407,巾仔,布巾類的總稱。
321,才,能力、才智、本事。,4473,材,資質、能力。指內在或外貌。
326,才,再。表示接續在另一動作之後。,21973,才閣,再。用於句中不同階段動作的連接用詞。
329,下𦜆,下巴、下顎。,708,下頦,下巴。臉部嘴脣以下的部位。
329,下𦜆,下巴、下顎。,736,下顎,下巴。一般稱「下巴」為「下頦」(ē-hâi)，「下顎」多在面相當中使用。
329,下𦜆,下巴、下顎。,11336,喙下斗,下巴、下顎。
330,丈人,岳父。稱謂。男子稱妻子的父親。,341,丈人爸,岳父。稱謂，男性稱呼妻子的父親。
331,三八,傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。,174,八珍,三八。形容人的言行不莊重。
331,三八,傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。,342,三八氣,傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。
334,大人,成年人。,3421,成人,成年人。
335,大力,形容很用力，或者出重力。,348,大下,指很用力。
338,工人,工人。靠勞力工作，以換取工資的人。,406,工仔,工人。靠勞力工作，以換取工資的人。
341,丈人爸,岳父。稱謂，男性稱呼妻子的父親。,330,丈人,岳父。稱謂。男子稱妻子的父親。
342,三八氣,傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。,174,八珍,三八。形容人的言行不莊重。
342,三八氣,傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。,331,三八,傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。
345,上山,登山、爬山。,18448,𬦰山,爬山、登山。
348,大下,指很用力。,335,大力,形容很用力，或者出重力。
349,小口,飯量少、食量小。,18474,小食,食量小的。
350,小工,指一般打零工的人，因其工作性質、內容均不定，有時亦為副手，故稱為小工。,406,工仔,工人。靠勞力工作，以換取工資的人。
352,大丈夫,有志氣而且勇敢剛毅的男子。,3322,好漢,男子漢。勇敢、有志氣、有擔當的男子。
352,大丈夫,有志氣而且勇敢剛毅的男子。,4666,男子漢,有大丈夫氣概的男子。
352,大丈夫,有志氣而且勇敢剛毅的男子。,7153,查埔囝,男子漢。有大丈夫氣慨的人。
353,干干仔,偏偏。,9687,偏偏,故意、唱反調。
353,干干仔,偏偏。,23176,干仔,偏偏。表示故意違反別人的要求。
358,上元,元宵節、上元節。我國傳統民俗節日之一。農曆正月十五日為天官大帝誕辰，清晨會祭拜三界公。,368,上元暝,元宵節、上元節。我國傳統民俗節日之一。農曆正月十五日為天官大帝誕辰，清晨會祭拜三界公。
358,上元,元宵節、上元節。我國傳統民俗節日之一。農曆正月十五日為天官大帝誕辰，清晨會祭拜三界公。,941,元宵,元宵節、上元節。我國傳統民俗節日之一。農曆正月十五日為天官大帝誕辰，清晨會祭拜三界公。
360,下勻,後輩、晚輩。,706,下輩,晚輩、後輩。子姪輩或是輩分較低的人。
360,下勻,後輩、晚輩。,4404,序細,晚輩、後輩。
361,大不了,頂多、充其量。至多也不過如此。,411,上加,最多、頂多。
361,大不了,頂多、充其量。至多也不過如此。,19430,極加,最多、頂多。用來說明數量上、程度上等頂多如何。
367,土公仔性,形容人的個性粗魯，就像墓穴工一樣。,514,土性,形容人的個性較粗魯、率直。
368,上元暝,元宵節、上元節。我國傳統民俗節日之一。農曆正月十五日為天官大帝誕辰，清晨會祭拜三界公。,358,上元,元宵節、上元節。我國傳統民俗節日之一。農曆正月十五日為天官大帝誕辰，清晨會祭拜三界公。
368,上元暝,元宵節、上元節。我國傳統民俗節日之一。農曆正月十五日為天官大帝誕辰，清晨會祭拜三界公。,941,元宵,元宵節、上元節。我國傳統民俗節日之一。農曆正月十五日為天官大帝誕辰，清晨會祭拜三界公。
369,上午,清晨到中午之間。,3503,早起,早上、早晨。
369,上午,清晨到中午之間。,11173,頂晡,早上、上午。
370,上天,上蒼。對具有無窮力量的天或是天上神明的總稱。,1185,天公,天老爺、老天爺。
370,上天,上蒼。對具有無窮力量的天或是天上神明的總稱。,1193,天公祖,老天爺。
370,上天,上蒼。對具有無窮力量的天或是天上神明的總稱。,18815,天公伯仔,天老爺、老天爺。
371,上手,對技術或工作已掌握熟練，駕馭自如。,22056,上腳,技藝已經上手，能勝任在該舞臺或職場上的角色，也形容人經鍛鍊後有所成就，或地位、勢力已達到一定的程度。
371,上手,對技術或工作已掌握熟練，駕馭自如。,23081,貫串,擅長、精通。
374,下午,中午過後的時間，指中午十二點到黃昏前的一段時間。,594,下晝,下午。
374,下午,中午過後的時間，指中午十二點到黃昏前的一段時間。,595,下晡,下午。
374,下午,中午過後的時間，指中午十二點到黃昏前的一段時間。,22898,過晝,過午。中午、午餐時間過後。
375,下手,動手去做。,9764,動手,著手。開始進行。
375,下手,動手去做。,13586,落手,下手、著手。動手去做某件事。
378,下水,內臟。雞、鴨等禽類動物的內臟。,17304,雞腹內,雞內臟、雞雜。
380,大方,慷慨不小氣。,851,冇手,大方、慷慨。
381,大方,舉止得體合宜、不矯飾，有大家風範。,695,大範,一個人的舉止十分大方、自然，不受拘束。
382,大日,吉日。指適合婚喪嫁娶的好日子。,2993,吉日,好日子。
382,大日,吉日。指適合婚喪嫁娶的好日子。,18932,好日,好日子、吉日 。
383,大日,烈日。,22895,大日虎,烈日。
386,寸尺,尺寸、法度。,598,大細,大小。指一般事物的尺寸大小。
387,小心,注意、留意。,6130,注意,小心、留意。
387,小心,注意、留意。,10791,細膩,做事小心謹慎。
387,小心,注意、留意。,13091,斟酌,形容做事小心謹慎。
387,小心,注意、留意。,17204,謹慎,對自己的言行或外界事務格外小心仔細，以避免有不利或不幸的事情發生。
392,工夫,做工精密細膩。,9836,夠工,周到。做事情下了很多功夫，面面俱到，沒有疏漏。
398,大心氣,呼吸急促，喘不過氣來。,5468,怦怦喘,喘得很厲害。
398,大心氣,呼吸急促，喘不過氣來。,11337,喘大氣,劇烈而急促的呼吸動作。
399,千斤秤,千斤頂、起重機。利用螺旋、齒輪或油壓作用，將重物作小幅度抬高的機械裝置。常用於安裝或修理機器、汽車時使用。,17830,鐵人,千斤頂。
404,丸仔,丸子。團狀、丸狀的東西或食品。,241,丸,又小又圓的物體。
405,大兄,大哥、長兄。,565,大哥,稱謂。兄弟中排行最大的、最年長的。
405,大兄,大哥、長兄。,1853,兄哥,哥哥。稱謂。對兄長的稱呼。
405,大兄,大哥、長兄。,6384,阿兄,哥哥。稱謂。同父母所生而年紀比自己大的男性。
406,工仔,工人。靠勞力工作，以換取工資的人。,338,工人,工人。靠勞力工作，以換取工資的人。
406,工仔,工人。靠勞力工作，以換取工資的人。,350,小工,指一般打零工的人，因其工作性質、內容均不定，有時亦為副手，故稱為小工。
407,巾仔,布巾類的總稱。,312,巾,可擦拭、披用、包蓋的方型或長方型的布，都可以說是巾。
409,大主大意,擅作主張。指不聽從、不遵守上級或長輩的指示，擅自做決定。,18968,自作自專,擅作主張、獨斷獨行。指不聽從、不遵守上級或長輩的指示，擅自做決定。
411,上加,最多、頂多。,361,大不了,頂多、充其量。至多也不過如此。
411,上加,最多、頂多。,727,上濟,至多、頂多。指在最壞的情況下。
411,上加,最多、頂多。,19430,極加,最多、頂多。用來說明數量上、程度上等頂多如何。
413,下司,下屬、手下。,655,下跤手人,手下、下屬。從事打雜工作的部屬。
413,下司,下屬、手下。,1168,手下,部下、部屬。
413,下司,下屬、手下。,11131,部下,部屬、屬下。軍隊或團體裡被統率的人。
415,小可仔,稍微、些微、少許。,22922,分分仔,一點兒。
416,大四界,到處、每個地方。,19,一四界,遍地、到處。
416,大四界,到處、每個地方。,14508,滿四界,處處、遍地。到處都是。
420,下本,投入本錢。,4517,投資,以資本、財物或勞務，直接或間接投入企業 ，以獲得利益的行為。
420,下本,投入本錢。,12876,填本,下本錢、投注本錢，用於不斷投入、沒有盡頭的情況。
420,下本,投入本錢。,13605,落本,下本錢。投注資金。
423,大本,大本錢、很多本錢。,22854,粗本,資本雄厚。
437,大囝,長子、大兒子。稱謂。對長子的稱呼。,6413,長男,長子。排行最大的兒子。
437,大囝,長子、大兒子。稱謂。對長子的稱呼。,18794,大漢囝,長子、長男。
438,小名,乳名、外號。非正式的名字。,4958,乳名,小名、奶名。
438,小名,乳名、外號。非正式的名字。,9659,偏名,綽號、小名。非正式的名字。
449,下早仔,早上。,3491,早起時仔,早上。
449,下早仔,早上。,3503,早起,早上、早晨。
454,大舌,口吃。講話結結巴巴、不清不楚。,19099,咬舌,說話不流暢，發音不清楚。
459,工作,作事、職業。為賺取生活所需的金錢或物質，所從事的腦力或體力的活動。,701,工課,工作、事情。
459,工作,作事、職業。為賺取生活所需的金錢或物質，所從事的腦力或體力的活動。,16467,頭路,職業、工作。
462,山尾溜,山頂。,601,山頂,山的最高點。
462,山尾溜,山頂。,715,山頭,山頂。
462,山尾溜,山頂。,22111,山尖,山嶺的頂點。
469,三更,子時、中夜。指夜間十一時至隔天凌晨一時。,470,三更半暝,三更半夜；深夜。
470,三更半暝,三更半夜；深夜。,469,三更,子時、中夜。指夜間十一時至隔天凌晨一時。
470,三更半暝,三更半夜；深夜。,2185,半暝,半夜、深夜。
471,口灶,戶、住戶。計算家庭的單位。,23136,家口,家庭、家族。
472,小肚,膀胱。泌尿系統中儲存尿液的器官。為肌肉與膜質形成的囊，呈卵圓形，位在骨盤腔的前方和腹腔的下方。,4270,尿帕仔,膀胱。
472,小肚,膀胱。泌尿系統中儲存尿液的器官。為肌肉與膜質形成的囊，呈卵圓形，位在骨盤腔的前方和腹腔的下方。,14751,膀胱,泌尿系統中儲存尿液的器官。為肌肉與膜質形成的囊，呈卵圓形，位在骨盤腔的前方和腹腔的下方。又作「小肚」(sió-tōo)。
479,山谷,山溝。兩山之間低窪且狹窄的地方。,634,山溝,山澗、山谷。
486,千里鏡,望遠鏡。用來觀察天體或者是遠處物體的儀器。,2233,召鏡,望遠鏡。指用來觀察天體或遠處物體的儀器。
487,久來,久而久之。,3192,年久月深,久而久之、日積月累、經年累月。經歷過一段長久的時間。
491,小使,小弟、跑腿的。供人差遣的人。,5071,卒仔,指小人物、無足輕重的人。
491,小使,小弟、跑腿的。供人差遣的人。,21860,小使仔,小弟、跑腿的、供人差遣的僕役。
492,工事,工程。源自日語「工事（こうじ）」。,617,工程,有關製造、建築、開礦、發電、興修水利等，有一定計畫的工作進程。
493,女兒,稱謂。父母親稱自己的女兒，此音讀通常出現在戲劇中。,7142,查某囝,女兒。
494,小叔,稱謂。稱呼丈夫的弟弟。,6421,阿叔仔,小叔。稱謂。稱呼丈夫的弟弟。
498,山坪,山坡地。山凹間或山麓上較平坦的地或可耕地。,9976,崎仔,小山坡。
499,丈姆,丈母娘、岳母。稱謂。男子稱妻子的母親。,510,丈姆婆,丈母娘、岳母。稱謂。男子稱妻子的母親。
502,大姊,稱謂。用來稱呼姊妹之中年紀最大的。,6426,阿姊,姊姊。稱謂。同父母所生而比自己年紀大的女性。
504,大姑,稱謂。稱呼丈夫的姊姊。,6427,阿姑,姑姑、姑媽。稱謂。爸爸的姊妹。如果是「大娘姑」、「小姑仔」是指丈夫的姊妹。
507,小姐,姑娘。稱呼未婚的年輕女子。,507,小姐,姑娘。稱呼未婚的年輕女子。
507,小姐,姑娘。稱呼未婚的年輕女子。,5286,姑娘,稱呼未出嫁的女子。
509,小姑,稱謂。女子稱呼丈夫的妹妹。,21951,細姑仔,稱謂。女子稱呼丈夫的妹妹。
510,丈姆婆,丈母娘、岳母。稱謂。男子稱妻子的母親。,499,丈姆,丈母娘、岳母。稱謂。男子稱妻子的母親。
511,下底,下面、底下。與「頂面」(tíng-bīn)相對。,648,下跤,下面、底下。
514,土性,形容人的個性較粗魯、率直。,367,土公仔性,形容人的個性粗魯，就像墓穴工一樣。
515,下性命,拚命。豁出性命，全力以赴。,5700,拚命,竭力、賣力。
518,下昏,晚上。,14474,暝時,夜晚。夜裡，晚上。
521,下昏暗,今晚、今天晚上。,630,下暗,晚上、今晚。
522,乞的,養子女。,917,分的,收養的小孩。
522,乞的,養子女。,5712,抱的,養子女。抱養的子女，不是親生的子女。
522,乞的,養子女。,15783,養的,對養子女的泛稱。
523,土直,形容一個人個性率真、剛直，不會深思熟慮，不會拐彎抹角。,6200,直腸直肚,直腸子。形容人有話直說，沒有遮掩，性情直爽。
523,土直,形容一個人個性率真、剛直，不會深思熟慮，不會拐彎抹角。,22426,白直,形容人不識相又不知變通。
524,三肢手,扒手、三隻手。專門在公共場所偷取人家財物的小偷。,9704,剪綹仔,扒手、三隻手。專門在公共場所偷取人家財物的小偷。
532,大便,排泄糞便。,5722,放屎,大便。排泄糞便。
535,大姨,稱謂。母親的大姊。,6769,姨,稱謂。子女稱呼母親的姊妹叫做「姨」，一般稱「阿姨」。
536,上帝,傳說中創造萬物的神祇。,537,上帝公,玄天上帝、北極玄天上帝。又稱玄武文帝，腳踏龜蛇，右手執劍，左手印訣，民間俗傳玄天上帝生前以殺豬、販賣豬肉維生，後來放下屠刀，立地成佛。
537,上帝公,玄天上帝、北極玄天上帝。又稱玄武文帝，腳踏龜蛇，右手執劍，左手印訣，民間俗傳玄天上帝生前以殺豬、販賣豬肉維生，後來放下屠刀，立地成佛。,536,上帝,傳說中創造萬物的神祇。
539,大後日,大後天。,13640,落後日,大後天。
540,大後年,後年之後的第一年。,13641,落後年,大後年。後年之後的第一年。
541,山後鳥,灰面鵟鷹、灰面鷲。禽鳥類。每年十月初至十月底從北半球南下至東南亞一帶渡冬，於臺灣過境期間，可在恆春滿州里附近觀賞。到來年三月底至四月中旬又北返，在彰化八卦山或臺北觀音山地區可看見；因為是由南路而來，又稱為「南路鷹」。,6657,南路鷹,灰面鵟鷹、灰面鷲。禽鳥類。每年十月初至十月底從北半球南下至東南亞一帶渡冬，於臺灣過境期間，可在恆春滿州里附近觀賞。到來年三月底至四月中旬又北返，在彰化八卦山或臺北觀音山地區可看見；因為是由南路而來，所以稱為「南路鷹」。
542,也是,還是、也是。,11890,猶是,還是。
543,也是,也是。,14258,嘛是,也是。
545,大昨日,大前天。,13642,落昨日,大前天。前天的前一日。
548,三牲,本指牛、羊、豬等三種祭品。今則多指雞、魚、豬等三種祭品。,7310,牲醴,牲畜宰殺潔淨之後的祭品。
551,山珍海味,山中和海中所生產的各式各樣的珍貴食品。,23132,魚魚肉肉,大魚大肉。指主要以魚、肉為主的菜餚。
555,口面,外面。外頭、外部。,2002,外口,外面。外頭、外邊。
555,口面,外面。外頭、外部。,2094,外面,外面、外頭、外邊。
556,口音,各地方所特有的說話方式及腔調。,12253,腔,口音、說話的聲調和語氣。
